topic	term	beta
1	abolishes	0.0027127003699136862
2	abolishes	2.44798041615667e-4
1	abridged	2.4660912453760805e-4
2	abridged	0.0026927784577723372
1	accused	0.0027127003699136862
2	accused	2.44798041615667e-4
1	ace	0.0027127003699136862
2	ace	2.44798041615667e-4
1	acquire	0.0027127003699136862
2	acquire	2.44798041615667e-4
1	adopt	0.0027127003699136862
2	adopt	2.44798041615667e-4
1	adopting	2.4660912453760805e-4
2	adopting	0.0026927784577723372
1	adult	2.4660912453760805e-4
2	adult	0.0026927784577723372
1	advocating	0.0027127003699136862
2	advocating	2.44798041615667e-4
1	age	2.4660912453760805e-4
2	age	0.0026927784577723372
1	alarm	0.0027127003699136862
2	alarm	2.44798041615667e-4
1	alcohol	2.4660912453760805e-4
2	alcohol	0.0026927784577723372
1	alcoholic	2.4660912453760805e-4
2	alcoholic	0.0026927784577723372
1	alerts	0.0027127003699136862
2	alerts	2.44798041615667e-4
1	alleged	2.4660912453760805e-4
2	alleged	0.0026927784577723372
1	allied	0.0027127003699136862
2	allied	2.44798041615667e-4
1	allowing	0.0027127003699136862
2	allowing	2.44798041615667e-4
1	along	0.0027127003699136862
2	along	2.44798041615667e-4
1	although	2.4660912453760805e-4
2	although	0.0051407588739290095
1	amount	0.0027127003699136862
2	amount	2.44798041615667e-4
1	animal	2.4660912453760805e-4
2	animal	0.012484700122399021
1	animalism	2.4660912453760805e-4
2	animalism	0.0051407588739290095
1	animals	2.4660912453760805e-4
2	animals	0.056548347613219106
1	animalsare	0.0027127003699136862
2	animalsare	2.44798041615667e-4
1	announces	0.0027127003699136862
2	announces	2.44798041615667e-4
1	another	2.4660912453760805e-4
2	another	0.0051407588739290095
1	anthem	2.4660912453760805e-4
2	anthem	0.0026927784577723372
1	ants	0.0027127003699136862
2	ants	2.44798041615667e-4
1	arguing	2.4660912453760805e-4
2	arguing	0.0026927784577723372
1	arms	2.4660912453760805e-4
2	arms	0.0026927784577723372
1	aside	2.4660912453760805e-4
2	aside	0.0026927784577723372
1	asks	0.0027127003699136862
2	asks	2.44798041615667e-4
1	associates	2.4660912453760805e-4
2	associates	0.0026927784577723372
1	assume	0.0027127003699136862
2	assume	2.44798041615667e-4
1	assuming	2.4660912453760805e-4
2	assuming	0.0026927784577723372
1	assured	2.4660912453760805e-4
2	assured	0.0026927784577723372
1	attacks	2.4660912453760805e-4
2	attacks	0.0026927784577723372
1	attempt	0.0027127003699136862
2	attempt	2.44798041615667e-4
1	avoid	0.0027127003699136862
2	avoid	2.44798041615667e-4
1	award	0.0027127003699136862
2	award	2.44798041615667e-4
1	away	0.0051787916152897665
2	away	2.44798041615667e-4
1	back	2.4660912453760805e-4
2	back	0.0026927784577723372
1	bad	0.0027127003699136862
2	bad	0.0026927784577723372
1	banner	0.0027127003699136862
2	banner	2.44798041615667e-4
1	barn	2.4660912453760805e-4
2	barn	0.0026927784577723372
1	battle	0.0027127003699136862
2	battle	0.010036719706242349
1	beasts	2.4660912453760805e-4
2	beasts	0.0051407588739290095
1	become	0.0027127003699136862
2	become	2.44798041615667e-4
1	bees	0.0027127003699136862
2	bees	2.44798041615667e-4
1	begin	2.4660912453760805e-4
2	begin	0.0051407588739290095
1	begins	0.0027127003699136862
2	begins	2.44798041615667e-4
1	behaviour	2.4660912453760805e-4
2	behaviour	0.0026927784577723372
1	benjamin	2.4660912453760805e-4
2	benjamin	0.0026927784577723372
1	better	2.4660912453760805e-4
2	better	0.0051407588739290095
1	bigboy	0.0027127003699136862
2	bigboy	2.44798041615667e-4
1	bipedally	2.4660912453760805e-4
2	bipedally	0.0026927784577723372
1	bitsy	0.0027127003699136862
2	bitsy	2.44798041615667e-4
1	blasting	0.0027127003699136862
2	blasting	2.44798041615667e-4
1	bleating	0.0027127003699136862
2	bleating	2.44798041615667e-4
1	blitz	0.0027127003699136862
2	blitz	2.44798041615667e-4
1	blow	2.4660912453760805e-4
2	blow	0.0026927784577723372
1	blue	0.007644882860665842
2	blue	2.44798041615667e-4
1	boar	0.0051787916152897665
2	boar	2.44798041615667e-4
1	boars	2.4660912453760805e-4
2	boars	0.0026927784577723372
1	bomb	0.0027127003699136862
2	bomb	2.44798041615667e-4
1	bombs	2.4660912453760805e-4
2	bombs	0.0026927784577723372
1	books	0.0027127003699136862
2	books	2.44798041615667e-4
1	boom	0.0027127003699136862
2	boom	2.44798041615667e-4
1	boomeroo	2.4660912453760805e-4
2	boomeroo	0.0026927784577723372
1	boxer	2.4660912453760805e-4
2	boxer	0.010036719706242349
1	boxers	2.4660912453760805e-4
2	boxers	0.0026927784577723372
1	bread	2.4660912453760805e-4
2	bread	0.0051407588739290095
1	building	0.0051787916152897665
2	building	2.44798041615667e-4
1	butterside	2.4660912453760805e-4
2	butterside	0.0051407588739290095
1	buy	2.4660912453760805e-4
2	buy	0.0026927784577723372
1	called	2.4660912453760805e-4
2	called	0.012484700122399021
1	calls	0.0027127003699136862
2	calls	2.44798041615667e-4
1	cards	2.4660912453760805e-4
2	cards	0.0026927784577723372
1	carried	2.4660912453760805e-4
2	carried	0.0026927784577723372
1	carry	0.0027127003699136862
2	carry	2.44798041615667e-4
1	celebrate	0.0027127003699136862
2	celebrate	2.44798041615667e-4
1	changed	0.0027127003699136862
2	changed	2.44798041615667e-4
1	changes	0.0051787916152897665
2	changes	2.44798041615667e-4
1	charges	2.4660912453760805e-4
2	charges	0.0026927784577723372
1	chasing	0.0027127003699136862
2	chasing	2.44798041615667e-4
1	cheated	0.0027127003699136862
2	cheated	2.44798041615667e-4
1	cheating	2.4660912453760805e-4
2	cheating	0.0026927784577723372
1	cherry	2.4660912453760805e-4
2	cherry	0.0026927784577723372
1	chowder	0.0027127003699136862
2	chowder	2.44798041615667e-4
1	circle	0.0027127003699136862
2	circle	2.44798041615667e-4
1	claiming	2.4660912453760805e-4
2	claiming	0.0026927784577723372
1	claims	0.0027127003699136862
2	claims	2.44798041615667e-4
1	clam	0.0027127003699136862
2	clam	2.44798041615667e-4
1	clothes	2.4660912453760805e-4
2	clothes	0.0051407588739290095
1	collaborator	2.4660912453760805e-4
2	collaborator	0.0026927784577723372
1	collapsed	2.4660912453760805e-4
2	collapsed	0.0026927784577723372
1	collapses	0.0027127003699136862
2	collapses	2.44798041615667e-4
1	come	2.4660912453760805e-4
2	come	0.0026927784577723372
1	command	2.4660912453760805e-4
2	command	0.0051407588739290095
1	commandments	2.4660912453760805e-4
2	commandments	0.0075887392900856766
1	commemorate	0.0027127003699136862
2	commemorate	2.44798041615667e-4
1	committee	2.4660912453760805e-4
2	committee	0.0026927784577723372
1	composed	2.4660912453760805e-4
2	composed	0.0026927784577723372
1	comrade	0.0027127003699136862
2	comrade	2.44798041615667e-4
1	conducts	2.4660912453760805e-4
2	conducts	0.0026927784577723372
1	conference	2.4660912453760805e-4
2	conference	0.0026927784577723372
1	conflict	2.4660912453760805e-4
2	conflict	0.0026927784577723372
1	consorting	0.0027127003699136862
2	consorting	2.44798041615667e-4
1	constructed	2.4660912453760805e-4
2	constructed	0.0026927784577723372
1	continual	0.0027127003699136862
2	continual	2.44798041615667e-4
1	contradicts	2.4660912453760805e-4
2	contradicts	0.0026927784577723372
1	cost	0.0027127003699136862
2	cost	2.44798041615667e-4
1	counterattack	0.007644882860665842
2	counterattack	2.44798041615667e-4
1	courage	0.0027127003699136862
2	courage	2.44798041615667e-4
1	cowshed	0.0051787916152897665
2	cowshed	2.44798041615667e-4
1	create	0.0027127003699136862
2	create	2.44798041615667e-4
1	creation	2.4660912453760805e-4
2	creation	0.0026927784577723372
1	credit	0.0027127003699136862
2	credit	2.44798041615667e-4
1	culminates	0.0027127003699136862
2	culminates	2.44798041615667e-4
1	cultures	0.0027127003699136862
2	cultures	2.44798041615667e-4
1	curving	0.0027127003699136862
2	curving	2.44798041615667e-4
1	daniel	2.4660912453760805e-4
2	daniel	0.0026927784577723372
1	day	0.0027127003699136862
2	day	2.44798041615667e-4
1	dead	0.0027127003699136862
2	dead	2.44798041615667e-4
1	death	2.4660912453760805e-4
2	death	0.0026927784577723372
1	defense	0.0027127003699136862
2	defense	2.44798041615667e-4
1	despite	0.0027127003699136862
2	despite	2.44798041615667e-4
1	destruction	0.0027127003699136862
2	destruction	2.44798041615667e-4
1	destructive	2.4660912453760805e-4
2	destructive	0.0026927784577723372
1	develop	0.0027127003699136862
2	develop	2.44798041615667e-4
1	devise	2.4660912453760805e-4
2	devise	0.0026927784577723372
1	died	2.4660912453760805e-4
2	died	0.0026927784577723372
1	dies	0.0027127003699136862
2	dies	2.44798041615667e-4
1	diminutive	2.4660912453760805e-4
2	diminutive	0.0026927784577723372
1	dinner	0.0027127003699136862
2	dinner	2.44798041615667e-4
1	discussedincluding	2.4660912453760805e-4
2	discussedincluding	0.0026927784577723372
1	dismissing	2.4660912453760805e-4
2	dismissing	0.0026927784577723372
1	display	0.0027127003699136862
2	display	2.44798041615667e-4
1	dispute	0.0027127003699136862
2	dispute	2.44798041615667e-4
1	disputes	0.0027127003699136862
2	disputes	2.44798041615667e-4
1	dogs	2.4660912453760805e-4
2	dogs	0.0051407588739290095
1	donkey	0.0027127003699136862
2	donkey	2.44798041615667e-4
1	driedfried	0.0027127003699136862
2	driedfried	2.44798041615667e-4
1	drink	0.0027127003699136862
2	drink	2.44798041615667e-4
