doc_idx	trm_idx	topic_idx
1	1	1
1	2	2
1	3	2
1	4	2
1	5	2
1	6	2
1	7	1
1	8	2
1	9	2
1	10	1
1	11	2
1	12	1
1	13	1
1	14	2
1	15	2
1	16	2
1	17	1
1	18	2
1	19	1
1	20	2
1	21	1
1	22	1
1	23	2
1	24	2
1	25	2
1	26	1
1	27	2
1	28	1
1	29	1
1	30	1
1	31	1
1	32	1
1	33	2
1	34	1
1	35	2
1	36	1
1	37	2
1	38	2
1	39	2
1	40	1
1	41	2
1	42	1
1	43	1
1	44	1
1	45	2
1	46	2
1	47	1
1	48	1
1	49	1
1	50	2
1	51	2
1	52	2
1	53	2
1	54	1
1	55	2
1	56	2
1	57	2
1	58	1
1	59	2
1	60	2
1	61	1
1	62	1
1	63	1
1	64	1
1	65	1
1	66	1
1	67	2
1	68	1
1	69	2
1	70	1
1	71	1
1	72	2
1	73	2
1	74	2
1	75	1
1	76	1
1	77	2
1	78	1
1	79	2
1	80	2
1	81	1
1	82	2
1	83	2
1	84	1
1	85	2
1	86	1
1	87	2
1	88	2
1	89	2
1	90	1
1	91	1
1	92	1
1	93	1
1	94	2
1	95	2
1	96	1
1	97	2
1	98	2
1	99	2
1	100	1
1	101	2
1	102	2
1	103	2
1	104	1
1	105	2
1	106	2
1	107	1
1	108	2
1	109	2
1	110	1
1	111	1
1	112	1
1	113	1
1	114	2
1	115	2
1	116	2
1	117	1
1	118	2
1	119	2
1	120	2
1	121	2
1	122	1
1	123	1
1	124	1
2	125	1
2	126	2
2	127	2
2	4	2
2	6	2
2	128	2
2	129	1
2	130	1
2	131	2
2	15	2
2	16	2
2	132	2
2	133	2
2	134	2
2	135	1
2	17	1
2	19	1
2	136	1
2	137	2
2	138	2
2	139	1
2	140	2
2	141	2
2	25	2
2	142	2
2	143	2
2	144	1
2	145	2
2	146	1
2	147	1
2	148	2
2	149	1
2	28	1
2	150	1
2	151	1
2	152	2
2	153	2
2	33	2
2	154	1
2	155	2
2	156	2
2	38	2
2	157	1
2	158	2
2	159	1
2	160	1
2	161	2
2	42	1
2	162	1
2	163	2
2	164	2
2	165	1
2	166	2
2	167	2
2	168	2
2	169	2
2	170	2
2	171	1
2	172	1
2	173	1
2	56	2
2	174	2
2	60	2
2	175	1
2	176	1
2	177	2
2	178	2
2	179	1
2	180	2
2	181	2
2	182	1
2	183	1
2	72	2
2	73	2
2	77	2
2	184	2
2	185	2
2	186	2
2	82	2
2	187	2
2	188	1
2	189	2
2	190	1
2	191	1
2	192	1
2	193	2
2	194	2
2	195	1
2	196	2
2	197	2
2	198	2
2	199	2
2	200	2
2	201	1
2	202	2
2	203	1
2	204	1
2	205	1
2	206	1
2	207	1
2	105	2
2	208	2
2	106	2
2	209	1
2	210	2
2	109	2
2	211	1
2	212	1
2	213	1
2	214	1
2	215	1
2	216	2
2	217	1
2	118	2
2	218	1
2	219	1
2	220	1
2	122	1
2	221	2
3	222	1
3	223	2
3	224	1
3	225	1
3	226	1
3	227	2
3	4	2
3	6	2
3	228	2
3	13	1
3	15	2
3	229	2
3	230	1
3	231	2
3	232	2
3	233	2
3	234	2
3	20	2
3	235	1
3	236	1
3	237	1
3	238	1
3	239	1
3	240	2
3	241	1
3	242	2
3	243	2
3	244	1
3	245	1
3	42	1
3	43	1
3	246	1
3	45	2
3	247	2
3	248	2
3	249	2
3	250	1
3	251	1
3	252	1
3	253	1
3	254	1
3	181	2
3	255	2
3	72	2
3	256	1
3	76	1
3	257	1
3	258	1
3	259	1
3	260	1
3	261	1
3	262	1
3	263	1
3	264	1
3	265	2
3	266	1
3	267	1
3	268	2
3	211	1
3	269	2
3	270	1
3	271	2
3	272	1
3	273	2
3	274	2
3	275	1
3	276	1
3	220	1
3	122	1
3	277	2
3	278	1
3	279	2
4	280	2
4	281	1
4	282	2
4	283	1
4	284	1
4	6	2
4	285	1
4	286	2
4	131	2
4	287	1
4	134	2
4	288	2
4	232	2
4	289	1
4	290	1
4	136	1
4	291	2
4	25	2
4	292	2
4	293	1
4	294	2
4	295	2
4	296	1
4	297	1
4	39	2
4	42	1
4	44	1
4	298	2
4	163	2
4	166	2
4	47	1
4	299	1
4	300	1
4	301	1
4	53	2
4	54	1
4	302	1
4	55	2
4	303	2
4	304	2
4	305	1
4	306	1
4	60	2
4	307	1
4	308	1
4	176	1
4	309	1
4	310	2
4	178	2
4	67	2
4	311	1
4	181	2
4	312	2
4	72	2
4	313	1
4	77	2
4	78	1
4	314	1
4	315	1
4	316	2
4	317	2
4	82	2
4	318	2
4	94	2
4	319	1
4	320	2
4	321	2
4	197	2
4	322	2
4	323	2
4	105	2
4	324	1
4	325	2
4	107	1
4	109	2
4	326	2
4	327	1
4	118	2
4	328	2
4	329	1
4	330	2
4	331	1
4	332	2
4	122	1
4	221	2
4	333	2
5	334	1
5	335	1
5	336	1
5	6	2
5	286	2
5	337	2
5	338	1
5	132	2
5	339	2
5	340	1
5	341	2
5	342	1
5	42	1
5	343	1
5	162	1
5	344	2
5	345	1
5	346	1
5	347	1
5	52	2
5	348	2
5	349	2
5	350	1
5	351	1
5	68	1
5	352	1
5	353	1
5	72	2
5	354	1
5	78	1
5	355	1
5	356	1
5	82	2
5	357	2
5	358	1
5	359	1
5	360	1
5	361	1
5	362	1
5	99	2
5	363	2
5	364	2
5	113	1
5	365	2
5	366	1
5	367	2
5	368	1
6	369	2
6	370	2
6	371	1
6	372	2
6	373	2
6	291	2
6	374	2
6	375	1
6	376	1
6	377	1
6	378	1
6	379	1
6	380	1
6	381	1
6	310	2
6	382	2
6	383	1
6	384	2
6	385	2
6	386	1
6	387	2
6	388	1
6	363	2
6	389	1
6	118	2
6	390	1
6	330	2
6	391	1
6	392	1
7	393	2
7	394	1
7	20	2
7	395	1
7	396	2
7	397	1
7	398	1
7	399	1
7	400	2
7	401	1
7	402	2
7	403	1
7	404	2
7	183	1
7	405	2
7	406	1
7	407	1
7	408	1
7	387	2
7	409	2
7	106	2
7	410	1
7	411	1
7	412	1
7	413	2
7	414	2
7	415	1
7	416	1
7	417	2
7	418	1
7	419	2
7	420	1
7	391	1
7	421	1
7	392	1
8	422	1
8	423	1
8	424	1
8	425	1
8	426	1
8	371	1
8	427	1
8	428	1
8	429	2
8	20	2
8	430	2
8	431	2
8	432	1
8	433	1
8	395	1
8	434	1
8	435	2
8	436	1
8	437	2
8	438	2
8	439	1
8	440	1
8	441	1
8	442	1
8	244	1
8	443	2
8	444	1
8	445	1
8	446	2
8	447	1
8	448	1
8	449	1
8	450	1
8	61	1
8	176	1
8	451	2
8	403	1
8	183	1
8	452	1
8	453	1
8	454	1
8	455	1
8	259	1
8	456	1
8	457	1
8	458	1
8	106	2
8	459	1
8	460	2
8	461	1
8	462	1
8	463	1
8	464	2
8	465	1
8	466	1
8	391	1
8	392	1
9	467	1
9	468	2
9	469	1
9	470	1
9	471	2
9	472	2
9	473	1
9	474	2
9	475	2
9	476	2
9	477	1
9	407	1
9	478	2
9	479	1
9	480	1
9	481	2
9	482	2
9	363	2
9	483	2
9	484	2
9	390	1
9	219	1
9	485	1
9	420	1
