term	topic	ln_prob
abolishes	1	-5.909810693751143
abolishes	2	-8.315077007294104
abridged	1	-8.307705966549513
abridged	2	-5.917181734495733
accused	1	-5.909810693751143
accused	2	-8.315077007294104
ace	1	-5.909810693751143
ace	2	-8.315077007294104
acquire	1	-5.909810693751143
acquire	2	-8.315077007294104
adopt	1	-5.909810693751143
adopt	2	-8.315077007294104
adopting	1	-8.307705966549513
adopting	2	-5.917181734495733
adult	1	-8.307705966549513
adult	2	-5.917181734495733
advocating	1	-5.909810693751143
advocating	2	-8.315077007294104
age	1	-8.307705966549513
age	2	-5.917181734495733
alarm	1	-5.909810693751143
alarm	2	-8.315077007294104
alcohol	1	-8.307705966549513
alcohol	2	-5.917181734495733
alcoholic	1	-8.307705966549513
alcoholic	2	-5.917181734495733
alerts	1	-5.909810693751143
alerts	2	-8.315077007294104
alleged	1	-8.307705966549513
alleged	2	-5.917181734495733
allied	1	-5.909810693751143
allied	2	-8.315077007294104
allowing	1	-5.909810693751143
allowing	2	-8.315077007294104
along	1	-5.909810693751143
along	2	-8.315077007294104
although	1	-8.307705966549513
although	2	-5.27055456957068
amount	1	-5.909810693751143
amount	2	-8.315077007294104
animal	1	-8.307705966549513
animal	2	-4.383251374569777
animalism	1	-8.307705966549513
animalism	2	-5.27055456957068
animals	1	-8.307705966549513
animals	2	-2.8726592967723095
animalsare	1	-5.909810693751143
animalsare	2	-8.315077007294104
announces	1	-5.909810693751143
announces	2	-8.315077007294104
another	1	-8.307705966549513
another	2	-5.27055456957068
anthem	1	-8.307705966549513
anthem	2	-5.917181734495733
ants	1	-5.909810693751143
ants	2	-8.315077007294104
arguing	1	-8.307705966549513
arguing	2	-5.917181734495733
arms	1	-8.307705966549513
arms	2	-5.917181734495733
aside	1	-8.307705966549513
aside	2	-5.917181734495733
asks	1	-5.909810693751143
asks	2	-8.315077007294104
associates	1	-8.307705966549513
associates	2	-5.917181734495733
assume	1	-5.909810693751143
assume	2	-8.315077007294104
assuming	1	-8.307705966549513
assuming	2	-5.917181734495733
assured	1	-8.307705966549513
assured	2	-5.917181734495733
attacks	1	-8.307705966549513
attacks	2	-5.917181734495733
attempt	1	-5.909810693751143
attempt	2	-8.315077007294104
avoid	1	-5.909810693751143
avoid	2	-8.315077007294104
award	1	-5.909810693751143
award	2	-8.315077007294104
away	1	-5.26318352882609
away	2	-8.315077007294104
back	1	-8.307705966549513
back	2	-5.917181734495733
bad	1	-5.909810693751143
bad	2	-5.917181734495733
banner	1	-5.909810693751143
banner	2	-8.315077007294104
barn	1	-8.307705966549513
barn	2	-5.917181734495733
battle	1	-5.909810693751143
battle	2	-4.601504940589796
beasts	1	-8.307705966549513
beasts	2	-5.27055456957068
become	1	-5.909810693751143
become	2	-8.315077007294104
bees	1	-5.909810693751143
bees	2	-8.315077007294104
begin	1	-8.307705966549513
begin	2	-5.27055456957068
begins	1	-5.909810693751143
begins	2	-8.315077007294104
behaviour	1	-8.307705966549513
