topic	term	beta
1	aaron	1.6869169557438914e-12
2	aaron	3.895940772421631e-5
1	abandon	2.654910374633259e-5
2	abandon	3.990786321171755e-5
1	abandoned	1.3906633139739238e-4
2	abandoned	5.876946344120626e-5
1	abandoning	2.454843442871365e-33
2	abandoning	2.337564534100965e-5
1	abbott	2.1304838375712495e-6
2	abbott	2.9680451350645956e-5
1	abboud	4.4652676142933545e-5
2	abboud	4.714205536257261e-18
1	abc	3.64626833759338e-4
2	abc	2.62290216935722e-6
1	abcs	9.240110281147712e-5
2	abcs	9.526991634116727e-6
1	abctvs	7.4644637119883016e-6
2	abctvs	2.2061397385050214e-5
1	abdomen	3.585111474705359e-5
2	abdomen	1.0039422697134139e-5
1	abducted	2.9959346818188798e-9
2	abducted	3.506137685184579e-5
1	abduction	2.8178934966143844e-5
2	abduction	1.539459716945196e-5
1	abductors	1.8524606977993756e-12
2	abductors	2.3375644047993782e-5
1	abdul	2.1760763460745078e-5
2	abdul	8.1866523415116525e-06
1	abide	7.802977963615586e-16
2	abide	2.337564534046503e-5
1	abilities	2.4987972497636334e-5
2	abilities	9.83000427460204e-6
1	ability	1.0383455153443804e-4
2	ability	1.4180032692527394e-4
1	ablaze	5.0757595445835334e-5
2	ablaze	1.521847635921453e-5
1	able	4.079501764615744e-4
2	able	3.152260469090068e-4
1	abm	6.738129617892547e-37
2	abm	2.7271586231177944e-5
1	aboard	4.013903639900315e-4
2	aboard	3.540110503415173e-5
1	abolished	6.090398069418734e-7
2	abolished	3.463835878312074e-5
1	abortion	5.836491561134032e-43
2	abortion	2.921955667626207e-4
1	abortions	4.288174955306307e-64
2	abortions	7.79188178033655e-5
1	abraham	3.6627160797534444e-12
2	abraham	3.895940634511029e-5
1	abrams	8.930767662220908e-21
2	abrams	6.623099513286077e-5
1	abroad	3.8829081441545806e-5
2	abroad	1.9107002650507472e-4
1	abrupt	1.8005360885699377e-5
2	abrupt	1.0807919905288249e-5
1	absence	4.7270558582011306e-5
2	absence	2.9340247572432946e-5
1	absent	2.772430391037187e-5
2	absent	1.5711929230706673e-5
1	absolute	4.200230594712959e-5
2	absolute	1.7433719534086695e-5
1	absolutely	5.033355705506932e-5
2	absolutely	1.0512109524213659e-4
1	absorbed	3.507038579809743e-5
2	absorbed	6.6884298995083124e-6
1	abu	1.620981665633885e-5
2	abu	3.543685347670602e-5
1	abuse	6.139718397299113e-5
2	abuse	1.3635810267070408e-4
1	abused	1.7055830049335644e-9
2	abused	5.843792285714615e-5
1	abuses	2.222146707023817e-20
2	abuses	1.285660493755531e-4
1	abyss	2.744579046574276e-17
2	abyss	2.3375645340990508e-5
1	academic	1.6451788965226845e-5
2	academic	3.526795702634009e-5
1	academics	2.5217318306504504e-28
2	academics	3.116752712134622e-5
1	academy	1.8881694901306873e-7
2	academy	2.180408957916499e-4
1	accelerated	2.722955754676384e-5
2	accelerated	4.3694390696482904e-06
1	accept	2.8927872719449234e-5
2	accept	2.603161153830083e-4
1	acceptable	8.200431498409284e-7
2	acceptable	5.7866723983709576e-5
1	acceptance	3.504068998519716e-5
2	acceptance	5.346044823178086e-5
1	accepted	2.1654744825370678e-5
2	accepted	2.2643334310149272e-4
1	accepting	5.153137643921103e-9
2	accepting	8.181116180816994e-5
1	accepts	2.0223654494367602e-14
2	accepts	2.3375645326893575e-5
1	access	1.0169552023167413e-4
2	access	2.290040684025657e-4
1	accessible	3.9062903562332715e-5
2	accessible	5.715260306121275e-9
1	accident	7.256059873151688e-4
2	accident	5.312119426493752e-15
1	accidentally	6.13974198187791e-5
2	accidentally	6.894670091833927e-12
1	accidents	2.67915718301207e-4
2	accidents	2.363120817050793e-10
1	accommodate	9.259228177804478e-6
2	accommodate	2.4704594319051444e-5
1	accompanied	7.143075100395309e-5
2	accompanied	6.312368692403118e-5
1	accompanying	4.465267614294029e-5
2	accompanying	1.393536241082501e-20
1	accomplish	1.879988874711111e-18
2	accomplish	2.7271586231176633e-5
1	accomplished	1.6254327177257238e-5
2	accomplished	1.9822021613128307e-5
1	accomplishments	1.0587728183110909e-6
2	accomplishments	3.042850466221256e-5
1	accord	3.927944350808862e-5
2	accord	1.9465161508456708e-4
1	account	2.4769450112052357e-4
2	account	1.1930503145026414e-4
1	accountable	1.003619537718925e-5
2	accountable	2.4162271924270414e-5
1	accountant	1.0367096322781698e-5
2	accountant	1.6139421586456645e-5
1	accounted	8.930535228588059e-5
2	accounted	1.2875595891088854e-25
1	accounting	1.8056330500009822e-4
2	accounting	6.876402270933334e-5
1	accounts	2.3367546040045875e-4
2	accounts	1.368821908354449e-4
1	accurate	3.972147923299236e-5
2	accurate	4.6297320726347906e-5
1	accusation	8.075342336403323e-12
2	accusation	3.116752148476462e-5
1	accusations	5.143780076405807e-7
2	accusations	6.976790064399718e-5
1	accuse	7.784917656746086e-13
2	accuse	5.064723102880108e-5
1	accused	6.053123560142279e-7
2	accused	8.411007248052936e-4
1	accuses	3.242843788996368e-12
2	accuses	3.506346574801248e-5
1	accusing	6.17106037815145e-8
2	accusing	8.566762563868526e-5
1	achieve	2.9097532008537484e-5
2	achieve	6.540064884593209e-5
1	achieved	1.4658411298715492e-5
2	achieved	5.989537833887e-5
1	achieving	1.2997942417975238e-5
2	achieving	1.8199034307590937e-5
1	acid	3.782976213332407e-5
2	acid	5.5409619312635386e-5
1	ackerman	8.27334389330026e-37
2	ackerman	3.895940890168274e-5
1	acknowledge	3.9087769026903146e-5
2	acknowledge	1.1676181859275514e-5
1	acknowledged	1.3147310687366723e-4
2	acknowledged	2.2380310371309837e-4
1	acknowledges	9.37975813537991e-10
2	acknowledges	2.3374990634749396e-5
1	acknowledging	5.915370338450545e-6
2	acknowledging	2.314266314342671e-5
1	acquire	1.8977386512844234e-4
2	acquire	5.918371964739363e-12
1	acquired	2.342005178048276e-4
2	acquired	1.5777009137147128e-7
1	acquiring	6.927693615443002e-5
2	acquiring	6.1879343672178166e-6
1	acquisition	2.763738260108724e-4
2	acquisition	1.888366644411554e-6
1	acquisitions	6.094681400914739e-5
2	acquisitions	3.1452933779926053e-7
1	acquitted	3.3393285897994346e-11
2	acquitted	5.8439090044041126e-5
1	acre	2.454881401867302e-4
2	acre	7.090176953573577e-8
